Name,Start,Duration,TID,Category
MegaBlock reorder and remove padding,47.3953s,169.451 μs,457618,
MegaSparse generate indices,47.3955s,467.145 μs,457618,
MegaSparse generate topo,47.3959s,774.484 μs,457618,
MegaSparse mlp forward,47.3967s,234.762 μs,457618,
MoE route,47.397s,280.655 μs,457618,
MegaBlock generate indices,47.3973s,466.330 μs,457618,
MegaBlock padded and reorder tokens,47.3977s,233.513 μs,457618,
MegaBlock generate topo,47.398s,582.570 μs,457618,
MegaBlock mlp forward,47.3985s,561.537 μs,457618,
MegaBlock reorder and remove padding,47.3991s,160.271 μs,457618,
MegaSparse generate indices,47.3993s,497.364 μs,457618,
MegaSparse generate topo,47.3998s,809.511 μs,457618,
MegaSparse mlp forward,47.4006s,233.048 μs,457618,
MoE route,47.4009s,261.279 μs,457618,
MegaBlock generate indices,47.4011s,479.232 μs,457618,
MegaBlock padded and reorder tokens,47.4016s,220.859 μs,457618,
MegaBlock generate topo,47.4019s,584.031 μs,457618,
MegaBlock mlp forward,47.4024s,536.422 μs,457618,
MegaBlock reorder and remove padding,47.403s,157.499 μs,457618,
MegaSparse generate indices,47.4032s,471.010 μs,457618,
MegaSparse generate topo,47.4036s,787.476 μs,457618,
MegaSparse mlp forward,47.4044s,243.296 μs,457618,
MoE route,47.4047s,263.225 μs,457618,
MegaBlock generate indices,47.405s,465.906 μs,457618,
MegaBlock padded and reorder tokens,47.4054s,227.911 μs,457618,
MegaBlock generate topo,47.4057s,581.090 μs,457618,
MegaBlock mlp forward,47.4063s,536.307 μs,457618,
MegaBlock reorder and remove padding,47.4068s,151.946 μs,457618,
MegaSparse generate indices,47.407s,452.649 μs,457618,
MegaSparse generate topo,47.4074s,800.276 μs,457618,
MegaSparse mlp forward,47.4082s,251.342 μs,457618,
MoE route,47.4085s,257.014 μs,457618,
MegaBlock generate indices,47.4088s,466.116 μs,457618,
MegaBlock padded and reorder tokens,47.4093s,258.708 μs,457618,
MegaBlock generate topo,47.4095s,583.850 μs,457618,
MegaBlock mlp forward,47.4101s,546.854 μs,457618,
MegaBlock reorder and remove padding,47.4107s,155.272 μs,457618,
MegaSparse generate indices,47.4108s,466.956 μs,457618,
MegaSparse generate topo,47.4113s,770.517 μs,457618,
MegaSparse mlp forward,47.4121s,213.523 μs,457618,
MoE route,47.4123s,277.859 μs,457618,
MegaBlock generate indices,47.4126s,432.732 μs,457618,
MegaBlock padded and reorder tokens,47.413s,231.545 μs,457618,
MegaBlock generate topo,47.4133s,579.684 μs,457618,
MegaBlock mlp forward,47.4139s,538.432 μs,457618,
MegaBlock reorder and remove padding,47.4144s,155.026 μs,457618,
MegaSparse generate indices,47.4146s,464.565 μs,457618,
MegaSparse generate topo,47.4151s,771.438 μs,457618,
MegaSparse mlp forward,47.4158s,217.519 μs,457618,
MoE route,47.4161s,262.137 μs,457618,
MegaBlock generate indices,47.4163s,460.799 μs,457618,
MegaBlock padded and reorder tokens,47.4168s,222.107 μs,457618,
MegaBlock generate topo,47.417s,583.763 μs,457618,
MegaBlock mlp forward,47.4176s,539.806 μs,457618,
MegaBlock reorder and remove padding,47.4182s,150.552 μs,457618,
MegaSparse generate indices,47.4183s,466.784 μs,457618,
MegaSparse generate topo,47.4188s,781.297 μs,457618,
MegaSparse mlp forward,47.4196s,232.656 μs,457618,
MoE route,47.4198s,245.948 μs,457618,
MegaBlock generate indices,47.4201s,458.711 μs,457618,
MegaBlock padded and reorder tokens,47.4206s,214.604 μs,457618,
MegaBlock generate topo,47.4208s,627.997 μs,457618,
MegaBlock mlp forward,47.4214s,583.592 μs,457618,
MegaBlock reorder and remove padding,47.422s,155.191 μs,457618,
MegaSparse generate indices,47.4222s,471.994 μs,457618,
MegaSparse generate topo,47.4227s,747.595 μs,457618,
MegaSparse mlp forward,47.4234s,228.567 μs,457618,
MoE route,47.4237s,249.877 μs,457618,
MegaBlock generate indices,47.4239s,439.685 μs,457618,
MegaBlock padded and reorder tokens,47.4244s,231.192 μs,457618,
MegaBlock generate topo,47.4246s,571.033 μs,457618,
MegaBlock mlp forward,47.4252s,628.311 μs,457618,
MegaBlock reorder and remove padding,47.4258s,169.105 μs,457618,
MegaSparse generate indices,47.426s,453.694 μs,457618,
MegaSparse generate topo,47.4265s,707.314 μs,457618,
MegaSparse mlp forward,47.4272s,223.717 μs,457618,
MoE route,47.4274s,245.124 μs,457618,
MegaBlock generate indices,47.4277s,448.814 μs,457618,
MegaBlock padded and reorder tokens,47.4281s,231.284 μs,457618,
MegaBlock generate topo,47.4283s,584.389 μs,457618,
MegaBlock mlp forward,47.4289s,521.279 μs,457618,
MegaBlock reorder and remove padding,47.4295s,167.181 μs,457618,
MegaSparse generate indices,47.4297s,446.314 μs,457618,
MegaSparse generate topo,47.4301s,802.995 μs,457618,
MegaSparse mlp forward,47.4309s,216.046 μs,457618,
MoE route,47.4312s,257.459 μs,457618,
MegaBlock generate indices,47.4314s,429.992 μs,457618,
MegaBlock padded and reorder tokens,47.4319s,231.376 μs,457618,
MegaBlock generate topo,47.4321s,587.799 μs,457618,
