Name,Duration
MegaBlock generate indices,434.851 μs
MegaBlock padded and reorder tokens,230.726 μs
MegaBlock generate topo,579.705 μs
MegaBlock mlp forward,539.198 μs
MegaBlock reorder and remove padding,174.721 μs
MegaSparse generate indices,458.901 μs
MegaSparse generate topo,792.536 μs
MoE route,257.215 μs
MegaBlock generate indices,446.906 μs
MegaBlock padded and reorder tokens,221.275 μs
MegaBlock generate topo,583.752 μs
MegaBlock mlp forward,544.436 μs
MegaBlock reorder and remove padding,149.763 μs
MegaSparse generate indices,475.698 μs
MegaSparse generate topo,798.113 μs
MoE route,259.673 μs
MegaBlock generate indices,440.634 μs
MegaBlock padded and reorder tokens,218.849 μs
MegaBlock generate topo,579.964 μs
MegaBlock mlp forward,549.804 μs
MegaBlock reorder and remove padding,151.112 μs
MegaSparse generate indices,469.938 μs
MegaSparse generate topo,760.404 μs
MoE route,288.417 μs
MegaBlock generate indices,437.136 μs
MegaBlock padded and reorder tokens,237.201 μs
MegaBlock generate topo,571.889 μs
MegaBlock mlp forward,557.470 μs
MegaBlock reorder and remove padding,152.803 μs
MegaSparse generate indices,483.140 μs
MegaSparse generate topo,749.243 μs
MoE route,285.377 μs
MegaBlock generate indices,468.303 μs
MegaBlock padded and reorder tokens,243.834 μs
MegaBlock generate topo,582.660 μs
MegaBlock mlp forward,537.510 μs
MegaBlock reorder and remove padding,166.639 μs
MegaSparse generate indices,453.195 μs
MegaSparse generate topo,793.879 μs
MoE route,258.644 μs
MegaBlock generate indices,453.367 μs
MegaBlock padded and reorder tokens,218.107 μs
MegaBlock generate topo,574.631 μs
MegaBlock mlp forward,553.713 μs
MegaBlock reorder and remove padding,158.860 μs
MegaSparse generate indices,501.636 μs
MegaSparse generate topo,757.881 μs
MoE route,282.786 μs
MegaBlock generate indices,462.796 μs
MegaBlock padded and reorder tokens,218.556 μs
MegaBlock generate topo,574.407 μs
MegaBlock mlp forward,557.257 μs
MegaBlock reorder and remove padding,155.932 μs
MegaSparse generate indices,468.273 μs
MegaSparse generate topo,755.999 μs
MoE route,279.118 μs
MegaBlock generate indices,430.951 μs
MegaBlock padded and reorder tokens,240.010 μs
MegaBlock generate topo,581.973 μs
MegaBlock mlp forward,552.187 μs
MegaBlock reorder and remove padding,151.999 μs
MegaSparse generate indices,471.083 μs
MegaSparse generate topo,756.286 μs
MoE route,256.423 μs
MegaBlock generate indices,453.421 μs
MegaBlock padded and reorder tokens,217.808 μs
MegaBlock generate topo,579.990 μs
MegaBlock mlp forward,551.442 μs
MegaBlock reorder and remove padding,158.670 μs
MegaSparse generate indices,459.079 μs
MegaSparse generate topo,807.634 μs
MoE route,269.555 μs
MegaBlock generate indices,452.318 μs
MegaBlock padded and reorder tokens,219.221 μs
MegaBlock generate topo,593.810 μs
MegaBlock mlp forward,553.517 μs
MegaBlock reorder and remove padding,149.862 μs
MegaSparse generate indices,480.056 μs
MegaSparse generate topo,762.791 μs
MoE route,270.653 μs
MegaBlock generate indices,441.380 μs
MegaBlock padded and reorder tokens,219.010 μs
MegaBlock generate topo,594.095 μs
MegaBlock mlp forward,547.702 μs
MegaBlock reorder and remove padding,152.946 μs
MegaSparse generate indices,467.394 μs
MegaSparse generate topo,784.810 μs
MoE route,288.838 μs
MegaBlock generate indices,463.156 μs
MegaBlock padded and reorder tokens,248.086 μs
MegaBlock generate topo,576.778 μs
MegaBlock mlp forward,559.370 μs
MegaBlock reorder and remove padding,154.589 μs
MegaSparse generate indices,466.061 μs
MegaSparse generate topo,757.744 μs
MoE route,255.157 μs
MegaBlock generate indices,445.604 μs
MegaBlock padded and reorder tokens,217.461 μs
MegaBlock generate topo,573.934 μs
MegaBlock mlp forward,546.755 μs
MegaBlock reorder and remove padding,155.177 μs
MegaSparse generate indices,465.782 μs
MegaSparse generate topo,789.555 μs
MoE route,257.982 μs
MegaBlock generate indices,462.080 μs
MegaBlock padded and reorder tokens,223.851 μs
MegaBlock generate topo,586.026 μs
MegaBlock mlp forward,592.014 μs
MegaBlock reorder and remove padding,162.319 μs
MegaSparse generate indices,522.304 μs
MegaSparse generate topo,705.878 μs
MoE route,273.519 μs
MegaBlock generate indices,428.216 μs
MegaBlock padded and reorder tokens,234.252 μs
MegaBlock generate topo,641.335 μs
MegaBlock mlp forward,582.462 μs
MegaBlock reorder and remove padding,166.665 μs
MegaSparse generate indices,501.699 μs
MegaSparse generate topo,701.815 μs
MoE route,265.430 μs
MegaBlock generate indices,450.015 μs
MegaBlock padded and reorder tokens,230.709 μs
MegaBlock generate topo,557.151 μs
MegaBlock mlp forward,545.801 μs
MegaBlock reorder and remove padding,167.790 μs
MegaSparse generate indices,450.435 μs
MegaSparse generate topo,799.172 μs
MoE route,265.765 μs
MegaBlock generate indices,446.728 μs
MegaBlock padded and reorder tokens,225.698 μs
MegaBlock generate topo,580.774 μs
MegaBlock mlp forward,550.064 μs
MegaBlock reorder and remove padding,150.960 μs
MegaSparse generate indices,484.183 μs
MegaSparse generate topo,769.389 μs
MoE route,293.742 μs
MegaBlock generate indices,488.304 μs
MegaBlock padded and reorder tokens,245.806 μs
MegaBlock generate topo,617.716 μs
MegaBlock mlp forward,550.795 μs
MegaBlock reorder and remove padding,152.023 μs
MegaSparse generate indices,467.626 μs
MegaSparse generate topo,763.812 μs
MoE route,275.044 μs
MegaBlock generate indices,432.791 μs
MegaBlock padded and reorder tokens,264.002 μs
MegaBlock generate topo,618.922 μs
MegaBlock mlp forward,582.075 μs
MegaBlock reorder and remove padding,160.225 μs
MegaSparse generate indices,476.849 μs
MegaSparse generate topo,737.334 μs
MoE route,257.077 μs
MegaBlock generate indices,444.808 μs
MegaBlock padded and reorder tokens,232.679 μs
