Name,Start,Duration,TID,GPU,Context
MegaSparse mlp forward [484.834 μs],47.431s,484.834 μs,457618,GPU 0,Stream 7
MoE route [31.504 μs],47.4315s,31.504 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [290.600 μs],47.4315s,290.600 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [172.997 μs],47.4319s,172.997 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [506.806 μs],47.4321s,506.806 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.487 ms],47.4329s,1.487 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [15.991 μs],47.4344s,15.991 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [47.143 μs],47.4344s,47.143 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [161.483 μs],47.4345s,161.483 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [486.945 μs],47.4347s,486.945 μs,457618,GPU 0,Stream 7
MoE route [31.376 μs],47.4352s,31.376 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [291.783 μs],47.4353s,291.783 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [158.413 μs],47.4356s,158.413 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [497.051 μs],47.4358s,497.051 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.484 ms],47.4366s,1.484 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [15.864 μs],47.4381s,15.864 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [45.416 μs],47.4381s,45.416 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [158.029 μs],47.4382s,158.029 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [483.427 μs],47.4385s,483.427 μs,457618,GPU 0,Stream 7
MoE route [31.407 μs],47.4389s,31.407 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [310.237 μs],47.439s,310.237 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [156.206 μs],47.4394s,156.206 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [496.636 μs],47.4396s,496.636 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.489 ms],47.4403s,1.489 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.471 μs],47.4418s,16.471 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [46.120 μs],47.4418s,46.120 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [167.944 μs],47.4419s,167.944 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [488.320 μs],47.4422s,488.320 μs,457618,GPU 0,Stream 7
MoE route [31.567 μs],47.4427s,31.567 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [302.242 μs],47.4427s,302.242 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [163.019 μs],47.4431s,163.019 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [500.794 μs],47.4433s,500.794 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.486 ms],47.4441s,1.486 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.216 μs],47.4456s,16.216 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [46.120 μs],47.4456s,46.120 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [165.002 μs],47.4456s,165.002 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [491.167 μs],47.4459s,491.167 μs,457618,GPU 0,Stream 7
MoE route [31.631 μs],47.4464s,31.631 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [314.363 μs],47.4464s,314.363 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [155.726 μs],47.4468s,155.726 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [498.491 μs],47.447s,498.491 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.495 ms],47.4478s,1.495 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.024 μs],47.4493s,16.024 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [46.280 μs],47.4493s,46.280 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [162.987 μs],47.4494s,162.987 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [483.683 μs],47.4497s,483.683 μs,457618,GPU 0,Stream 7
MoE route [32.335 μs],47.4502s,32.335 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [297.412 μs],47.4502s,297.412 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [155.758 μs],47.4506s,155.758 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [499.834 μs],47.4508s,499.834 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.493 ms],47.4516s,1.493 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.055 μs],47.4531s,16.055 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [46.119 μs],47.4531s,46.119 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [173.029 μs],47.4531s,173.029 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [486.401 μs],47.4534s,486.401 μs,457618,GPU 0,Stream 7
MoE route [29.361 μs],47.4539s,29.361 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [293.638 μs],47.454s,293.638 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [172.453 μs],47.4543s,172.453 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [475.974 μs],47.4545s,475.974 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.490 ms],47.4553s,1.490 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.215 μs],47.4568s,16.215 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [45.576 μs],47.4568s,45.576 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [164.554 μs],47.4569s,164.554 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [488.544 μs],47.4572s,488.544 μs,457618,GPU 0,Stream 7
MoE route [32.335 μs],47.4577s,32.335 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [298.404 μs],47.4577s,298.404 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [166.920 μs],47.4581s,166.920 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [493.694 μs],47.4583s,493.694 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.489 ms],47.459s,1.489 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.632 μs],47.4605s,16.632 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [48.422 μs],47.4605s,48.422 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [167.624 μs],47.4606s,167.624 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [488.256 μs],47.4609s,488.256 μs,457618,GPU 0,Stream 7
MoE route [31.632 μs],47.4614s,31.632 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [861.437 μs],47.4614s,861.437 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [165.770 μs],47.4624s,165.770 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [548.449 μs],47.4626s,548.449 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.485 ms],47.4635s,1.485 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.599 μs],47.465s,16.599 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [46.696 μs],47.465s,46.696 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [174.789 μs],47.4651s,174.789 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [484.642 μs],47.4662s,484.642 μs,457618,GPU 0,Stream 7
MoE route [31.568 μs],47.4666s,31.568 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [406.891 μs],47.467s,406.891 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [174.725 μs],47.4675s,174.725 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [495.964 μs],47.4677s,495.964 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.486 ms],47.4692s,1.486 ms,457618,GPU 0,Stream 7
